Name,,2026-001-26-2-S15-8-Rev
V (V),Jsc(mA/cm2),Isc (mA)
-0.100000,-2.215891104779994,-140.000000000000000
0.000000,-2.215891104779994,-140.000000000000000
0.500000,-2.215749287749288,-139.991039999999998
1.000000,-2.100000000000000,-132.678000000000000
1.500000,-1.500000000000000,-94.770000000000000
1.900000,-0.200000000000000,-12.636000000000000
2.000000,0.369315184129999,23.333333333333353
,Name,Jsc (mA/cm^2),Isc (mA),Voc (V),Eff (%),Pmax (mW),FF (%),Vmax(V),Imax(mA),Rs (ohm),Rsh (ohm),Area (cm^2),Date,Note
,13A15-8-For,2.2160000000,140.0000000000,1.9500000000,20.4400000000,1291.5540000000,76.0000000000,1.7000000000,130.0000000000,8.1000000000,920.0000000000,63.1800000000,11:46:27,0.0000000000
