Name,,06-8-Rev,Name,,05-8-Rev,Name,,10-8-Rev,,,,,,
V (V),Jsc(mA/cm2),Isc (mA),V (V),Jsc(mA/cm2),Isc (mA),V (V),Jsc(mA/cm2),Isc (mA),,,,,,
-0.100000,-2.231677746122191,-140.997399999999999,-0.100000,-2.238222538778095,-141.410899999999998,-0.100000,-2.240701171256727,-141.567500000000024,,,,,,
0.000000,-2.231179170623615,-140.965900000000005,0.000000,-2.238410889522001,-141.422799999999995,0.000000,-2.240919594808484,-141.581299999999999,,,,,,
0.100000,-2.226897752453308,-140.695400000000006,0.100000,-2.235075973409307,-141.212100000000021,0.100000,-2.239746755302311,-141.507200000000012,,,,,,
0.200000,-2.220740740740741,-140.306399999999996,0.200000,-2.235392529281418,-141.232100000000002,0.200000,-2.240175688509022,-141.534300000000002,,,,,,
0.300000,-2.222103513770181,-140.392500000000012,0.300000,-2.221343779677113,-140.344500000000011,0.300000,-2.239947768281102,-141.519900000000007,,,,,,
0.400000,-2.216024058246280,-140.008399999999994,0.400000,-2.220941753719532,-140.319099999999992,0.400000,-2.246191832858500,-141.914400000000000,,,,,,
0.500000,-2.219911364355809,-140.253999999999991,0.500000,-2.216603355492245,-140.045000000000016,0.500000,-2.240229503007281,-141.537700000000001,,,,,,
0.600000,-2.217458056346945,-140.098999999999989,0.600000,-2.212988287432732,-139.816600000000022,0.600000,-2.242923393478949,-141.707899999999995,,,,,,
0.700000,-2.215278569167459,-139.961300000000023,0.700000,-2.216435580880026,-140.034400000000005,0.700000,-2.244563152896486,-141.811499999999995,,,,,,
0.800000,-2.224924026590693,-140.570699999999988,0.800000,-2.218452041785375,-140.161799999999999,0.800000,-2.242619499841722,-141.688700000000011,,,,,,
0.900000,-2.220169357391579,-140.270299999999992,0.900000,-2.228088002532447,-140.770600000000002,0.900000,-2.244355808800253,-141.798399999999987,,,,,,
1.000000,-2.219868629313074,-140.251299999999986,1.000000,-2.222100348211459,-140.392300000000006,1.000000,-2.242898069009180,-141.706299999999999,,,,,,
1.100000,-2.225667932890155,-140.617700000000013,1.100000,-2.216084203861982,-140.012200000000007,1.100000,-2.237899651788541,-141.390500000000003,,,,,,
1.200000,-2.226215574548908,-140.652299999999997,1.200000,-2.215364039252928,-139.966700000000003,1.200000,-2.233007280785058,-141.081400000000002,,,,,,
1.300000,-2.222611585944919,-140.424599999999998,1.300000,-2.215047483380817,-139.946700000000021,1.300000,-2.236377018043685,-141.294300000000021,,,,,,
