Name,,2026-001-26-2-S25-8-Rev,Name,,2026-001-26-2-S25-8-For
V (V),Jsc(mA/cm2),Isc (mA),V (V),Jsc(mA/cm2),Isc (mA)
-0.100000,-2.215891104779994,-140.000000000000000,-0.100000,-2.184235517568851,-138.000000000000000
0.000000,-2.215891104779994,-140.000000000000000,0.000000,-2.184235517568851,-138.000000000000000
0.500000,-2.215749287749288,-139.991039999999998,0.500000,-2.184045349407691,-137.987985175577876
1.000000,-2.100000000000000,-132.678000000000000,1.000000,-2.050000000000000,-129.519000000000000
1.500000,-1.500000000000000,-94.770000000000000,1.500000,-1.400000000000000,-88.452000000000000
1.900000,-0.200000000000000,-12.636000000000000,1.900000,-0.100000000000000,-6.318000000000000
2.000000,0.369315184129999,23.333333333333353,2.000000,0.728078505856284,46.000000000000043
2.100000,0.738630368259999,46.666666666666707,2.100000,1.092117758784426,69.000000000000057
,Name,Jsc (mA/cm^2),Isc (mA),Voc (V),Eff (%),Pmax (mW),FF (%),Vmax(V),Imax(mA),Rs (ohm),Rsh (ohm),Area (cm^2),Date,Note
,13A25-8-Rev,2.2160000000,140.0000000000,1.9500000000,19.9000000000,1257.0000000000,77.0000000000,1.7000000000,130.0000000000,5.5000000000,900.0000000000,63.1800000000,10:10:53,0.0000000000
,13A25-8-For,2.1840000000,138.0000000000,1.9200000000,18.8000000000,1188.0000000000,74.0000000000,1.6000000000,126.0000000000,5.8000000000,675.0000000000,63.1800000000,10:05:53,0.0000000000
